0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
100000015,100001023.83979331,99999310,100000705,100000750,99998219.6985195,99998049.10073721,99997804.96666464,99997443.46666464,99997875.46666464,99999915.63407257,99999915.63407257,99999915.63407257,99999930.63407257,99999915.63407257,99999385,99999400,99999430,99999385,99999430,100000066.36592743,100000000,100000066.36592743,100000067.86592743,100000067.86592743,100002729.3941858,100001523.4692361,100003155.1165723,100003219.43322839,100003930,99999669.29546891,99999525.67543985,99999556.97184336,99999233.16139634,99999369.30951242
100000270,99999955,100001592.69202402,100000502.89841093,100000330,100000536.07654735,100000876.57654735,100000484.08748269,100000400.74685913,100000128.7359238,99999969.0369155,99999952.54399832,100000044.77889715,100000086.23476106,99999893.82968822,99999865,99999941.17031178,99999865,99999835,99999941.17031178,100000249.84062356,99999985,99999898.0658724,99999985,99999985,100000148.5,100000257.4792784,100005164.92258662,100001888.0172148,100001815,99997140.74631502,99997373.23347369,99997099.72456795,99997260.86169314,99997278.02969533
99999655,99999700,99999310,99999850,99999880,100000759.1066309,100000459.0,100000667.5,100000595.5,100000472.5,100000000.0,99999990.26776485,99999998.5,99999998.5,99999998.5,99999959.5,99999959.5,99999959.5,99999959.5,99999970,100000018.0,100000000,100000000,100000000,100000000,99999620.5,99999532.0,99999430.0,99998368.0,99999266.5,100000378.0,100000665.86512904,100000756.7604752,100000394.5,100000427.5
100000315,100000255,99999490,99999625,99999790,100000235.10651922,100000252.94872916,100000193.42209935,100000194.92209935,100000244.10651922,99999994.0,99999994.0,99999994.0,99999994.0,99999982.07889503,99999926.34220994,99999941.34220994,99999926.34220994,99999941.34220994,99999926.34220994,100000023.92110497,100000023.92110497,100000015,100000023.92110497,100000000,99997958.5,99997510,100000178.81558013,100000660,100000717.0,100000367.81458575,100000527.13016587,100000759.47237581,100000478.73569071,100000540.47237581
100000225,100000615,100000345,100000320.71634495,100000330,99999008.68361971,99998622.1937911,99997808.74337283,99998368.6938207,99998830.78275356,99999898.53938073,99999898.53938073,99999898.53938073,99999898.53938073,99999898.53938073,99999595,99999595,99999610,99999550,99999625,100000078.45044787,100000000,99999985,100000000,100000098.46061927,100000133.5,100000253.41102311,100002524.24869421,100000713.54732503,100002494.70954007,100000416.90534274,100000008.45356041,100000581.84556003,100000194.72741784,100000574.22986291
99999760,100000000,99999395.70835795,99999835,99999475,100000231.0,99999433.0,99999502.0,100000232.5,100000193.5,99999982.0,99999982.0,100000099.00925648,99999983.5,99999982.0,99999938.5,99999911.5,99999953.5,99999949.0,99999905.5,100000031.5,100000016.5,100000027.0,100000043.5,100000001.5,99999427.0,99999461.1016133,99999620.5,100000534.18077227,100000160.5,100000556.5,100000445.5,100000412.5,100000504.0,100001014.0
99998977.41396876,100000030,99999640,99999730,99999835,100000878.73219623,100000941.8066894,100001009.23219623,100000860.8066894,100000967.38656415,100000013.5,99999969.4297651,99999987.4297651,99999987.4297651,99999956.5,99999819.95364505,99999826.22562256,99999880.02813822,99999912.78847314,99999806.52813822,100000055.5,100000054.07449317,100000065.63759045,100000055.5,100000052.57449317,99999641.26762198,99999801.4297651,99999824.5,99999996.88084212,99999830.5,99999652.55572015,99999766.55184749,99999741.70034793,99999815.91255382,99999615.22310795
99999433.63835452,100000075,100000060,99998665.09782791,99999340,99999905.9083113,99999726.45415565,100000039.4083113,99999646.95415565,99999951.45415565,99999982.0,99999982.0,99999995.5,99999982.0,99999982.0,99999892.0,99999875.5,99999985.47707783,99999940.47707783,99999875.5,100000079.97707783,100000094.97707783,100000094.97707783,100000094.97707783,100000094.97707783,99999135.25,100000344.70314257,100000313.5,100000062.43801042,99999919.0,100000514.5,100000604.5,100000508.5,100000757.5,100001043.8540302
100001050,99999610,100000075,100002661.78750136,100000105,99998800,99998995,99998905,99999040,99998815,100000112.91017458,100000112.91017458,100000214.01252693,100000015,100000112.91017458,99999850,99999880,99999865,99999850,99999880,100000000,99999985,99999985,100000000,99999985,99999940,99999911.17009899,99999940,100000373.5,100000102.25260252,100000133.40075588,100000404.94045353,100000553.72748268,100000380.29752526,100000356.18052912
99999550,99999940,99999835,99999700,99999985,100000070.5,100000001.5,100000043.5,100000063.0,100000003.0,100000000,100000000,100000000,99999998.5,100000000,99999986.5,99999986.5,99999986.5,99999986.5,99999986.5,100000015,100000015,100000000,100000015,100000015,99999890.5,99999377.5,99999098.5,99999913.0,99999550,100000586.5,100000634.5,100000573.0,100000664.5,100000529.5
99999895,99998669.87099373,100000255,99999550,99999655,99999909.66843861,100000070.48082751,99999832.93327518,99999715.73404282,99999678.94100492,99999951.36637186,99999984.82480498,100000059.2069621,99999949.86637186,100000076.95843312,100000141.83079043,100000057.37235731,100000095.37361729,100000118.0793194,100000152.0206422,100000001.5,100000001.5,100000050.40619445,99999985,100000000,99999843.93309404,99999858.01943967,100000200.91174255,100000109.1377571,100002399.72044042,100000213.36413032,100000162.30148324,99999872.13530076,99999771.89541782,99999710.64674632
99998847.71720593,100000480,99999276.63560191,99999550,99999625,100000152.34454031,100000147.06302688,100000192.02526025,100000768.25740664,100000204.74374682,99999926.53865021,100000000,100000000,99999938.36516415,100000000,100000005.24374682,100000018.74374682,100000005.24374682,100000005.24374682,100000005.24374682,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,99996272.74742177,99999823.05557558,100000105.40952687,100000047.75219189,100002341.42915954,100000408.0,100000364.40826772,100000524.28151344,100000480.00350301,100000402.00350301
99999940,99999850,99999700,99999760,100000031.65554439,99999735.25,99999106.75,99999199.0,99999158.5,99999809.5,99999980.5,100000001.5,99999980.5,99999980.5,99999980.5,99999971.5,99999971.5,99999971.5,99999971.5,99999971.5,100000017.25,100000000,100000019.5,100000004.5,100000019.5,99999220,100000732.0,100000361.34445561,99999940,100001305,100000369.0,100000435.75,100000390.75,100000630.0,100000483.75
99999685,99999520,99999445,99999610,99999640,100000502.5,100000686.0,100000580.0,100000554.5,100000551.5,99999997.0,99999997.0,99999997.0,99999997.0,99999994.5,99999959.0,99999973.0,99999973.0,99999974.5,99999966.0,100000004.0,100000004.0,100000001.5,100000004.0,100000005.5,99999007.0,99999400.0,99999277.0,99999476.5,99999397.0,100000427.0,100000642.5,100000516.5,100000408.5,100000826.5
99999383.39023218,99999910,100000495,99999820,99999760,99997706.72102976,99998096.72102976,99997529.55673362,99997684.11051488,99997588.05525744,99999983.5,99999983.5,100000032.20542566,99999994.05525744,99999992.44474256,99999639.805851,99999635.08629742,99999606.75059356,99999629.25059356,99999608.19533612,100000034.5,100000024.05525744,100000018.0,100000018.0,100000041.64007868,100002334.41949625,100001313.92395496,100002724.0,100002197.37782647,100002862.0,100000223.98486029,100000703.33682643,100000453.55407032,100000599.10932776,100000373.74940644
