0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
99999310,99999697.0022539,99999670,99999925,99999550,100000129.0,99999907.74459943,100000245.24459943,99999950.77989408,99999910.4434357,99999925.52828215,99999940.52828215,99999924.02828215,100000000,99999924.02828215,99999945.19859716,99999930.19859716,99999900.59929858,99999942.19859716,99999918.59929858,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,99999234.87140618,100000089.92055064,100000088.5,99999851.80116373,100001366.68566406,100000198.0,100000442.2869507,100000369.0,100000276.0,100000354.31196487
99999865,99999580,100000300,99999340,99999600.3472612,99998347.90589754,99998117.09652185,99998081.44829279,99998406.50986849,99999607.06676629,100000054.88552444,99999995.5,100000005.48209588,100000054.88552444,100000003.98209588,99999251.61357068,99999255.36359634,99999331.47352782,99999269.33808297,99999414.30887471,100000022.71402799,100000013.98174483,100000075.88552444,100000013.98296592,100000000,100003974.8219579,100000723.1791914,100001637.56132606,100001491.89491495,100001650.75059286,100000376.5370623,100001098.86334887,100000464.48847727,100000450.12735803,100000123.00400586
99999624.58847477,99999565,99999373.8459855,99999640,99999775,100002311.58998324,100000430.897258,100000109.897258,100002067.397258,100001668.25271407,99999905.95181869,99999905.95181869,99999905.95181869,99999905.95181869,99999904.45181869,99999925,99999940,99999925,99999940,99999925,100000000,100000000,100000000,100000000,100000074.54818131,99999955,100000209.54818131,100000315,100000654.32463318,100002025,99998640.74728593,99998732.24728593,99998574.29546724,99998586.00637938,99998483.55456069
99999670,99999430,99999775,99999415,99999895,100000381.0,100000417.0,100000384.0,100000363.0,100000306.0,99999983.5,99999980.5,99999977.5,99999958.0,99999983.5,99999955,99999955,99999955,99999955,99999955,100000019.5,100000016.5,100000022.5,100000022.5,100000018.0,99999205,99999970,100000000,100000060,99999985,100000147.0,100000241.5,100000225.0,100000271.5,100000102.0
99999865,99999550,99999430,99999760,99999464.29685976,100001118.72934039,100001199.02969162,100001284.6591343,100000988.82210177,100001272.22758432,99999980.36707133,99999976.0,99999979.0,99999979.0,99999977.5,99999964.70186971,99999971.06367464,99999981.12734433,99999971.06367464,99999957.56367464,100000000,100000044.43074597,100000044.43074597,100000044.43074597,100000000,99999312.06925403,100000092.70635234,99999053.45255134,100000298.63179262,99999793.56925403,99999456.44219777,99999546.54488876,99999660.439643,99999412.07054111,99999570.62926564
99999760,99999985,99999702.51249179,99999685,99999415,100000939.60175057,100000601.61947635,100000823.09917329,100000723.36818771,100000670.37076499,99999910.2715917,99999910.2715917,99999910.2715917,99999910.2715917,99999910.2715917,99999780.75128864,99999809.00257728,99999888.25386591,99999869.00257728,99999765.75128864,100000088.2284083,100000089.75128864,100000015,100000015,100000089.75128864,100000285.29846227,100000596.05326873,100001135.97964466,100001240.44983625,100000908.97524707,99998831.90082671,99998843.1469608,99998886.5658886,99999021.10112375,99998983.10635468
99999865,99999505,99999775,99999805,99999970,99999355.92529185,100000942.26903564,100001045.81147486,100000886.99036449,100000888.3618285,99999999.95890702,99999980.5,100000002.61399594,99999987.95890702,99999982.04109298,99999896.97442551,99999926.23182839,99999926.23182839,99999939.73182839,99999893.5442348,100000002.95890702,100000001.5,100000004.45890702,100000001.5,100000002.95890702,99993430.56894697,100000860.03229646,99999122.66751373,100002254.77435303,99999326.6374874,100000718.14862,100000794.0829554,100000650.97710802,100000817.3479965,100000436.24095763
99999445,99998395.19530979,99999640,99998533.56621943,99999670,100001151.56629094,100001429.80970484,100000891.56381136,100001361.83592609,100001085.08786638,99999977.5,99999972.95853509,99999975.97584838,99999955.61536007,99999983.5,100000116.60806963,100000119.04974723,100000125.62589762,100000098.26385877,100000142.56972705,100000000,100000000,100000015,100000000,100000000,99999796.13266265,100000031.5480808,99998765.52311052,99999645.96828334,100000720.79515746,99999890.78618023,99999761.3874655,99999708.42289567,99999821.80002354,99999771.34396762
99999715,99999820,99999685,99999985,99999580,99998111.5,99997760.5,99998600.5,99999541.0,99998617.0,99999974.5,99999974.5,99999974.5,99999974.5,99999993.5,99999897.0,99999882.0,99999874.5,99999897.0,99999882.0,100000015,100000015,100000015,100000015,100000015,100000300,100000278.5,100001800,100001845,100001744.5,100000616.0,100000792.5,100000270.5,100000353.5,100001185.0
99999355,100000255,99999848.15850593,100000651.28764792,100000435,100001430.60344613,100002385.24236135,100001400.80519782,100001273.92355402,100001662.31485337,100000028.45222272,99999933.99613906,99999979.50097995,99999989.3567483,99999916.59208392,99999836.5,99999821.5,99999836.5,99999835,99999836.5,99999985,99999985,100000016.50811532,99999985,99999985,99997923.80055101,100001545.91992216,99995875.10482629,100000511.8904229,100000094.29445095,99999398.42883015,99999351.32966742,99999400.86679539,99999275.5241941,99998955.09848383
