0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
100000135,100000150,100001665.13440588,100000060,100000315,100002029.65799175,99999895,99999790,100000045,100000135,99999640,99999730,99999715,99999475,99999655,99999535,99999670,99999250,99999715,99999520,100000015,100000052.92746583,100000000,100000101.59116769,100000199.09978226,100000167.59978226,100000097.50861457,100000082.50861457,100000086.59116769,100000086.59116769,99999872.9170438,99999855.4585219,99999952.96713647,99999837.4585219,99999872.9170438,99999867.4585219,99999867.4585219,99999885.4585219,99999894.46713647,99999857.9170438,99999985,100000000,99999985,100000000,99999985,100000000,99999985,100000058.50861457,100000000,100000000,100000035.4585219,99999810.4585219,100000330,99999491.71290769,99999766.4170438,100000108.1282646,99999992.59380633,100000062.58678651,100000275.96937203,100000349.4779866
99999310.45116998,99999715,99999820,99999490,99999491.26446396,100000300,99999700,100000120,100000315,100000135,100000130.17345242,100000119.46597199,100000128.61883321,100000021.48657581,100000120.94309008,100000241.1364144,100000203.9418078,100000108.96973705,100000120.85883534,100000119.30970967,99999941.52115344,99999929.5953965,100000017.79040872,99999959.45827682,99999968.16854331,99999959.45827682,100000020.79040872,99999968.16854331,100000040.5319036,99999962.16854331,99999848.2940299,99999817.73771022,99999834.05839844,99999810.20446914,99999817.70446914,99999819.05916104,99999810.32196496,99999824.24615061,99999853.81279519,99999853.69598705,100000020.92422736,100000021.0084821,100000020.92422736,100000023.97335303,100000023.97335303,100000020.92422736,100000015,100000020.92422736,100000020.92422736,100000021.0084821,99998758.0,100000781.33564071,100000012.0,99998213.07899779,100000854.79265705,100000784.74246708,100000786.03812732,100000657.6089787,100000686.28264077,100000488.12903157
99999640,99999880,99999565,99999895,99999775,99999550,99999850,100000195,99999940,99999865,100000036.0,99999941.5,99999985.0,99999949.0,99999931.0,99999971.5,99999953.5,100000003.0,99999973.0,99999968.5,100000000.0,100000001.5,100000001.5,100000000.0,99999998.5,99999985.0,100000013.5,99999998.51314771,100000015.0,100000001.5,99999959.5,99999961.0,99999958.0,99999956.5,99999956.5,99999956.5,99999956.5,99999961.0,99999963.98685229,99999956.5,99999985,99999985,99999985,99999985,99999985,99999985,99999985,99999985,99999985,99999985,99999325,99999292.0,100000514.5,99999460,100000028.5,100000613.5,100000862.5,100000894.0,100000898.5,100000793.5
100000225,99999880,99999655,99999880,99999925,100000450,100000270,100000480,99999850,100000270,99999553.0,99999581.5,99999583.0,99999592.0,99999593.5,99999578.5,99999563.5,99999553.0,99999598.0,99999521.5,100000016.5,99999986.5,99999970.0,100000033.0,100000001.5,100000033.0,99999985.0,99999985.0,100000000.0,100000000.0,99999812.0,99999782.0,99999782.0,99999812.0,99999782.0,99999797.0,99999842.0,99999782.0,99999797.0,99999812.0,99999985,100000015,100000000,100000018.0,100000000,100000000,100000000,100000000,99999985,100000015,99999835,100000141.0,99998232.0,99998847.5,100000375,100001361.5,100002082.0,100001477.5,100001524.0,100001493.5
99999925,99999805,100000285,99999490,100000315,99999820,100000165,99999730,99999655,99999625,100000051.0,100000052.5,100000052.5,100000155.6489243,99999858.4313319,99999720.8445421,100000143.63365749,100000064.51526682,99999799.60787249,100000051.0,99999971.94267662,99999971.48473318,99999983.5,99999983.5,99999969.98473318,99999971.94267662,99999983.5,99999983.5,99999969.98473318,99999982.0,99999895,99999910,99999895,99999880,99999854.51526682,99999929.51526682,99999880,99999865,99999869.51526682,99999884.51526682,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000001.5,100000016.5,100000016.5,100000016.5,100000016.5,99999829.0,99999040.85303484,99999151.44267662,99999317.5,99999808.0,100000925.37786543,100000951.0,100001489.80527523,100000994.48473318,100000943.45419954
99999535,100000300,99999595,99999400,100000300,99999535,100001020,99999268.3825853,100000150,99999805,99998733.61419553,99999004.58581477,99998278.6894887,99998209.34161445,99999134.6313488,99998070.85350971,99998636.21459016,99998924.35350971,99997999.86540496,99999472.480534,99999943.60414097,99999943.60414097,99999943.60414097,99999943.60414097,99999943.60414097,99999943.60414097,99999943.60414097,99999943.60414097,99999943.60414097,99999940.60414097,99999656.5,99999626.5,99999686.5,99999671.5,99999656.5,99999671.5,99999665.74456955,99999710.74456955,99999710.74456955,99999641.5,100000000,100000000,100000106.63891955,100000073.63891955,100000073.63891955,100000067.98810475,100000067.98810475,100000081.48810475,100000073.63891955,100000076.63891955,100000016.50269282,100003622.04567903,100005856.13891955,100002809.8092464,100006526.53740317,99999707.94382596,99999812.06940575,99999883.3377843,100000105.77137494,99999534.39704166
99999940,99999655,99999760,99999699.5858333,99999745,99999730,99999595,99999756.01972656,99999985,99999505,100000089.59096378,100000169.7862985,100000212.04563229,100000107.46807566,100000105.69533472,100000247.2862985,100000088.09096378,100000190.36418343,100000081.54548189,100000080.59096378,99999982.0,99999983.5,99999983.5,99999982.0,100000000,100000000,100000000,100000000,99999982.0,100000000,99999911.27274095,99999911.27274095,99999924.5,99999896.0,99999908.0,99999896.0,99999908.0,99999897.5,99999894.5,99999909.5,100000016.5,100000016.5,100000016.5,100000019.77274095,100000000,100000034.77274095,100000016.5,100000018.27274095,100000015,100000019.77274095,100000603.45423777,99999223.72725905,99999201.28360127,99998457.25,99999652.66837001,100001034.12799814,100000841.18688719,100001155.35014717,100000862.47303529,100001082.27226225
99999785.40942049,99999670,99999805,99999820,99999835,99999655,99999820,99999685,99999750.83447433,99999955,100000107.76909292,100000125.73614724,100000167.9658544,100000138.96481004,100000115.35036203,100000192.43122311,100000133.72255945,100000131.93056642,100000183.72387555,100000127.35036203,99999983.5,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,100000000,99999973.0,99999959.03343901,99999963.06687802,99999976.56687802,99999973.0,99999962.03343901,99999978.06687802,99999959.5,99999976.56687802,99999961.56687802,100000019.5811817,100000016.5,100000019.5,100000016.5,100000019.5811817,100000001.5,100000019.5811817,100000005.96742773,100000019.5,100000016.5,100000370.01234575,99999361.75,100000384.84362201,99998576.81722678,99999289.1894266,100000555.63764647,100000555.7660726,100000465.68510702,100000618.76608938,100000794.7314744
100000060,99999820,99999820,99999805,99999970,99999219.88656701,100000150,99999985,100000030,99999760,99999942.38781255,99999937.81951928,100000000.92195919,100000015.00074899,99999933.42195919,100000004.82100639,100000064.2062644,99999934.88781255,99999989.75271311,99999927.31951928,99999972.58165519,99999997.03414664,99999997.03414664,99999990.13509944,99999994.03414664,99999997.03414664,99999972.58165519,99999997.03414664,99999995.53414664,99999997.03414664,99999733.17073318,99999754.13658655,99999713.67073318,99999798.21957515,99999698.67073318,99999785.63658655,99999731.67073318,99999706.13658655,99999775.17073318,99999716.70487982,100000015,100000015,100000000,100000015,100000015,100000015,100000000,100000015,100000015,100000015,99999128.5,99999477.93170673,100000696.05359854,100000285.37096961,100000732.32029068,100000851.28969395,100000623.72437489,100000778.19022825,100000978.70941705,100000634.25852153
99999760,99999940,100000090,100000090,100000195,100000255,99999769.0,99999745,99999700,99999805,100000076.5,100000064.5,100000064.5,99999803.5,99999922.0,100000060.0,100000064.5,99999793.0,99999923.5,100000070.5,99999982.0,99999983.5,99999983.5,99999982.0,99999982.0,99999982.0,99999983.5,99999982.0,99999982.0,99999982.0,99999905.5,99999889.0,99999863.5,99999878.5,99999878.5,99999889.0,99999892.0,99999878.5,99999878.5,99999889.0,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,99999451.0,100000403.5,99999113.5,99999880,100000448.5,100000330.0,100000624.0,100000682.5,100000565.5,100000478.5
