0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
99999535,99999715,100000030,100000105.0,100000120,99999640,100000090,99999760,99999610,100000123.0,99999724.0,99999697.0,99999451.0,99998813.5,99999790.0,99999824.5,99999748.0,99999761.5,99998728.0,99999767.5,99999977.5,99999977.5,99999977.5,99999977.5,99999977.5,99999977.5,99999977.5,99999977.5,99999977.5,99999977.5,99999850,99999820,99999820,99999835,99999835,99999805,99999820,99999805,99999820,99999820,100000022.5,100000022.5,100000022.5,100000024.0,100000022.5,100000022.5,100000022.5,100000021.0,100000021.0,100000022.5,99999848.5,100000253.5,100000868.5,100001543.5,100000928.5,100000897.0,100000787.5,100000897.0,100000883.5,100000831.0
99999808.26801679,99999831.37833378,99999535,99999850,99999445,99999760,99999775,99999745,99999865,100000390,100000277.5,100000364.51385571,100000318.01385571,100000277.5,100000268.5,100000301.51385571,100000358.5,100000348.0,100000338.78747715,100000247.5,99999983.5,99999982.0,99999983.5,99999983.5,99999983.5,99999983.5,99999983.5,100000000,99999982.01040089,99999983.5,99999862.20474079,99999901.82667108,99999907.0,99999916.01385571,99999892.0,99999884.66110681,99999911.0,99999880.20474079,99999876.55491619,99999886.5301418,100000000,100000003.0,100000000,100000016.5,100000001.5,100000000,100000016.5,100000000,100000054.01385571,100000001.5,99999812.70554325,99999934.55803128,99999564.39192542,99998617.43978633,99998728.88407977,100000650.59051841,100000875.96714546,100000434.79525921,100000687.0,100000729.17188625
99999895,99999820,100000345,99999610,99999401.28010167,99999865,99999555.82175006,99999640,99999730,100000285,100000450.48967263,100000398.86413407,100000201.22608122,100000468.65821576,100000470.94592321,100000456.09923072,100000245.73729661,100000264.4686941,100000445.70503798,100000446.12593716,99999983.5,99999995.7751898,99999977.23634388,99999983.5,99999977.23634388,99999998.7751898,99999998.7751898,99999983.5,99999965.23634388,99999983.5,99999758.76184951,99999852.06894298,99999834.10648811,99999774.07008442,99999777.40859427,99999768.4974403,99999753.74357891,99999757.72225049,99999805.31025507,99999773.53178775,100000001.5,100000020.89419274,100000016.5,100000000,100000001.5,100000019.3731495,100000001.5,100000016.5,100000001.5,100000002.26030305,100000393.67831782,100002621.20860142,99999107.80702242,99998094.58668026,99996753.31665604,100000490.87059638,100000510.6342525,100000949.87558329,100000496.753701,100000802.06299554
100000540.07980382,99999715,100000885,100000765,100000599.31089401,99999850,100000750,100000855,99999745,100000960,100000029.50713386,100000029.50713386,100000096.37094851,100000187.3666903,100000063.25075692,100000136.3666903,100000340.22559234,100000062.50713386,100000090.62306723,100000424.68635814,99999920.88406663,99999935.88406663,99999920.88406663,99999920.88406663,99999920.88406663,99999935.88406663,99999935.88406663,99999920.88406663,99999920.88406663,99999935.88406663,99999809.11593337,99999795.61593337,99999795.61593337,99999810.61593337,99999795.61593337,99999780.61593337,99999795.61593337,99999794.11593337,99999795.61593337,99999794.11593337,100000061.11593337,100000064.11593337,100000000,100000061.11593337,100000061.11593337,99999985,100000061.11593337,100000000,100000076.11593337,99999985,99999959.5,99999989.5,100000466.89799167,99999948.5,100000272.21085472,99999122.96226652,99999138.17419867,99999068.40606542,99999070.63793217,99999248.21288745
99999595,99999558.13477285,99999543.63967411,99999460,100000015,99999700,99999520,99999715,99999147.2159856,99999393.34592214,100000269.58622587,100000398.98626897,100000223.00676237,100000526.15799099,100000259.57121801,100000278.58267066,100000256.08622587,100000187.12870039,100000271.04129909,100000265.57121801,99999983.5,99999983.5,99999983.5,100000000,99999983.5,99999983.5,99999976.12193802,99999967.12193802,99999983.5,99999947.48728363,99999947.2889069,99999903.83138143,99999900.75612396,99999948.99030842,99999918.91084492,99999920.41084492,99999947.33558746,99999982.06977192,99999899.41084492,99999890.41084492,100000016.5,100000016.5,100000015,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000016.5,100000031.5,100000291.78226827,99998754.9326925,99999781.02714254,100000479.6674329,100000437.35600859,100000467.60292773,100000557.28584766,100000499.99323763,100000428.15765017,100000489.49323763
99999580,100000045,99999940,100000075,99999730,99999625.57781166,99999955,99999637.88721815,100000270,100000210,100000240.0,100000205.5,100000156.0,100000187.5,100000199.94100341,100000203.38200682,100000278.3720775,100000193.5,100000225.0,100000210.0,99999998.5,100000000,100000000,99999998.5,99999998.5,100000000,100000000,99999992.50496466,100000000,99999998.5,99999927.5,99999942.5,99999945.5,99999941.0,99999929.0,99999927.5,99999944.0,99999926.0,99999941.0,99999944.0,100000016.5,100000034.5,100000016.5,100000001.5,100000015,100000033.0,100000016.5,100000016.5,100000016.5,100000016.5,100000003.0991781,99999463.0,99999098.2357397,99999949.0,99999436.0,100000355.5,100000295.5,100000264.0,100000280.5,100000150.0
100000315,100000120,99999970,99999462.59628285,99999940,99999619.64354493,99999100.75150529,99999850,100000150,99999651.21650705,99999521.17669877,99999371.17669877,99999431.17669877,99999251.17669877,99998838.08834939,99999221.17669877,99998801.17669877,99999431.17669877,99999401.17669877,99998876.17669877,100000004.89634867,100000004.89634867,100000004.89634867,100000004.89634867,100000004.89634867,100000004.89634867,100000004.89634867,100000004.89634867,100000004.89634867,100000004.89634867,99999845.30116925,99999837.3738857,99999895.18408383,99999839.22502711,99999842.15447268,99999866.87038274,99999814.31781827,99999825.41757247,99999825.09660819,99999829.38951863,100000000,100000000,100000000,100000000,100000044.08834939,100000000,100000000,100000000,99999985,100000000,99999474.13399564,99999678.13578053,100005405.96784633,100002461.66047779,100000366.19419688,100000572.75213721,100001270.47106057,100000743.41524711,100000746.57316996,100000459.42723453
99999790,99999835,99999850,100000180,99999685,99999971.4690257,99999520,99999686.55035663,100000045,99999145,99999079.81423506,99999365.80815727,99999600.35146914,99999048.23786344,99999522.75980248,99998954.71088149,99999351.66756961,99999550.70567226,99999410.32454585,99999388.7220022,99999911.41858546,99999911.41858546,99999911.41858546,99999911.41858546,99999911.41858546,99999911.41858546,99999911.41858546,99999911.41858546,99999911.41858546,99999911.41858546,100000004.5,99999989.5,100000004.5,99999989.5,99999989.5,100000003.0,99999989.5,100000004.5,99999989.5,99999989.5,100000089.57029383,100000079.07029383,100000092.82385147,100000100.58141454,100000093.35293293,100000100.58141454,100000100.58141454,100000000,100000100.58141454,100000089.57029383,99999958.17598842,100001947.14137846,100001262.47031303,100003706.65789615,99999000.57657017,100000984.61614875,100000587.01661049,100000869.91541496,100000200.05779141,100000587.85112838
100000030,100000180,99999475,99999445,99999862.22244509,100000225,100000105,99999745,100000240,100000240,100000114.0,100000055.5,100000066.0,100000063.0,100000085.5,100000061.5,100000195.0,100000066.0,100000058.5,100000052.5,100000000,99999967.0,99999965.5,99999983.5,99999962.5,99999983.5,99999964.0,99999965.5,99999964.0,99999952.0,99999941.5,99999941.5,99999944.5,99999944.5,99999941.5,99999941.5,99999974.5,99999944.5,99999928.0,99999926.5,100000016.5,100000016.5,100000016.5,100000000,100000000,100000016.5,100000015,100000016.5,100000016.5,100000016.5,99999907.0,99999454.0,99999937.0,99998848.0,99999543.77755491,100000594.0,100000519.0,100000636.0,100000586.5,100000343.5
99999760,100001005,99999700,99999625,100000975,100000960,99999520,99999753.83886436,100000945,99999647.1857778,99998740,99999010,99998830,99998680,99999145,99998815,99999025,99998980,99998950,99998815,100000078.0807693,100000055.85584709,99999964.28638917,100000043.85584709,100000106.93661639,100000056.25382309,100000153.43661639,100000057.36715847,100000085.5807693,100000104.36780962,99999940,99999940,99999940,99999940,99999940,99999940,99999940,99999940,99999940,99999940,100000000,99999985,100000000,100000000,99999985,99999985,99999985,100000000,100000000,100000000,100000043.5,100000957.38472205,100000139.30442601,100000166.3170232,100001265.98714887,100001401.86348854,100001161.68491375,100001312.48490265,100001301.28660387,100001323.14048298
